Date,5,3,2,1,0,total,위험자산비중,rebal
2017-09-29,0.00%,35.00%,14.00%,30.00%,21.00%,100.00%,0.00%,True
2017-10-31,21.00%,35.00%,14.00%,30.00%,0.00%,100.00%,21.00%,True
2017-11-30,21.00%,35.00%,14.00%,30.00%,-0.00%,100.00%,21.00%,True
2017-12-28,21.00%,35.00%,14.00%,30.00%,0.00%,100.00%,21.00%,True
2018-01-31,21.00%,35.00%,14.00%,30.00%,0.00%,100.00%,21.00%,True
2018-02-28,21.00%,35.00%,14.00%,30.00%,0.00%,100.00%,21.00%,True
2018-03-30,21.00%,35.00%,14.00%,30.00%,0.00%,100.00%,21.00%,True
2018-04-30,0.00%,35.00%,14.00%,30.00%,21.00%,100.00%,0.00%,True
2018-05-31,0.00%,35.00%,14.00%,30.00%,21.00%,100.00%,0.00%,True
2018-06-29,0.00%,35.00%,14.00%,30.00%,21.00%,100.00%,0.00%,True
2018-07-31,0.00%,35.00%,14.00%,30.00%,21.00%,100.00%,0.00%,True
2018-08-31,0.00%,35.00%,14.00%,30.00%,21.00%,100.00%,0.00%,True
2018-09-28,0.00%,35.00%,14.00%,30.00%,21.00%,100.00%,0.00%,True
2018-10-31,21.00%,35.00%,14.00%,30.00%,0.00%,100.00%,21.00%,True
2018-11-30,21.00%,35.00%,14.00%,30.00%,0.00%,100.00%,21.00%,True
2018-12-28,21.00%,35.00%,14.00%,30.00%,0.00%,100.00%,21.00%,True
2019-01-31,21.00%,35.00%,14.00%,30.00%,0.00%,100.00%,21.00%,True
2019-02-28,21.00%,35.00%,14.00%,30.00%,0.00%,100.00%,21.00%,True
2019-03-29,21.00%,35.00%,14.00%,30.00%,0.00%,100.00%,21.00%,True
2019-04-30,0.00%,35.00%,14.00%,30.00%,21.00%,100.00%,0.00%,True
2019-05-31,0.00%,35.00%,14.00%,30.00%,21.00%,100.00%,0.00%,True
2019-06-28,0.00%,35.00%,14.00%,30.00%,21.00%,100.00%,0.00%,True
2019-07-31,0.00%,35.00%,14.00%,30.00%,21.00%,100.00%,0.00%,True
2019-08-30,0.00%,35.00%,14.00%,30.00%,21.00%,100.00%,0.00%,True
2019-09-30,0.00%,35.00%,14.00%,30.00%,21.00%,100.00%,0.00%,True
2019-10-31,21.00%,35.00%,14.00%,30.00%,0.00%,100.00%,21.00%,True
2019-11-29,21.00%,35.00%,14.00%,30.00%,0.00%,100.00%,21.00%,True
2019-12-30,21.00%,35.00%,14.00%,30.00%,0.00%,100.00%,21.00%,True
2020-01-31,21.00%,35.00%,14.00%,30.00%,0.00%,100.00%,21.00%,True
2020-02-28,21.00%,35.00%,14.00%,30.00%,0.00%,100.00%,21.00%,True
2020-03-31,21.00%,35.00%,14.00%,30.00%,0.00%,100.00%,21.00%,True
2020-04-29,0.00%,35.00%,14.00%,30.00%,21.00%,100.00%,0.00%,True
2020-05-29,0.00%,35.00%,14.00%,30.00%,21.00%,100.00%,0.00%,True
2020-06-30,0.00%,35.00%,14.00%,30.00%,21.00%,100.00%,0.00%,True
2020-07-31,0.00%,35.00%,14.00%,30.00%,21.00%,100.00%,0.00%,True
2020-08-31,0.00%,35.00%,14.00%,30.00%,21.00%,100.00%,0.00%,True
2020-09-29,0.00%,35.00%,14.00%,30.00%,21.00%,100.00%,0.00%,True
2020-10-30,21.00%,35.00%,14.00%,30.00%,0.00%,100.00%,21.00%,True
2020-11-30,21.00%,35.00%,14.00%,30.00%,0.00%,100.00%,21.00%,True
2020-12-30,21.00%,35.00%,14.00%,30.00%,0.00%,100.00%,21.00%,True
2021-01-29,21.00%,35.00%,14.00%,30.00%,0.00%,100.00%,21.00%,True
2021-02-26,21.00%,35.00%,14.00%,30.00%,0.00%,100.00%,21.00%,True
2021-03-31,21.00%,35.00%,14.00%,30.00%,0.00%,100.00%,21.00%,True
2021-04-30,0.00%,35.00%,14.00%,30.00%,21.00%,100.00%,0.00%,True
2021-05-31,0.00%,35.00%,14.00%,30.00%,21.00%,100.00%,0.00%,True
2021-06-30,0.00%,35.00%,14.00%,30.00%,21.00%,100.00%,0.00%,True
2021-07-30,0.00%,35.00%,14.00%,30.00%,21.00%,100.00%,0.00%,True
2021-08-31,0.00%,35.00%,14.00%,30.00%,21.00%,100.00%,0.00%,True
2021-09-30,0.00%,35.00%,14.00%,30.00%,21.00%,100.00%,0.00%,True
2021-10-29,21.00%,35.00%,14.00%,30.00%,0.00%,100.00%,21.00%,True
2021-11-30,21.00%,35.00%,14.00%,30.00%,0.00%,100.00%,21.00%,True
2021-12-30,21.00%,35.00%,14.00%,30.00%,0.00%,100.00%,21.00%,True
2022-01-28,21.00%,35.00%,14.00%,30.00%,0.00%,100.00%,21.00%,True
2022-02-28,21.00%,35.00%,14.00%,30.00%,0.00%,100.00%,21.00%,True
2022-03-31,21.00%,35.00%,14.00%,30.00%,0.00%,100.00%,21.00%,True
2022-04-29,0.00%,35.00%,14.00%,30.00%,21.00%,100.00%,0.00%,True
2022-05-31,0.00%,35.00%,14.00%,30.00%,21.00%,100.00%,0.00%,True
2022-06-30,0.00%,35.00%,14.00%,30.00%,21.00%,100.00%,0.00%,True
2022-07-29,0.00%,35.00%,14.00%,30.00%,21.00%,100.00%,0.00%,True
2022-08-31,0.00%,35.00%,14.00%,30.00%,21.00%,100.00%,0.00%,True
2022-09-30,0.00%,35.00%,14.00%,30.00%,21.00%,100.00%,0.00%,True
2022-10-31,21.00%,35.00%,14.00%,30.00%,0.00%,100.00%,21.00%,True
2022-11-30,21.00%,35.00%,14.00%,30.00%,0.00%,100.00%,21.00%,True
2022-12-29,21.00%,35.00%,14.00%,30.00%,-0.00%,100.00%,21.00%,True
2023-01-31,21.00%,35.00%,14.00%,30.00%,0.00%,100.00%,21.00%,True
2023-02-28,21.00%,35.00%,14.00%,30.00%,0.00%,100.00%,21.00%,True
2023-03-31,21.00%,35.00%,14.00%,30.00%,0.00%,100.00%,21.00%,True
2023-04-28,0.00%,35.00%,14.00%,30.00%,21.00%,100.00%,0.00%,True
2023-05-31,0.00%,35.00%,14.00%,30.00%,21.00%,100.00%,0.00%,True
2023-06-30,0.00%,35.00%,14.00%,30.00%,21.00%,100.00%,0.00%,True
2023-07-28,0.00%,35.00%,14.00%,30.00%,21.00%,100.00%,0.00%,True
2023-08-31,0.00%,35.00%,14.00%,30.00%,21.00%,100.00%,0.00%,True
2023-09-27,0.00%,35.00%,14.00%,30.00%,21.00%,100.00%,0.00%,True
2023-10-31,21.00%,35.00%,14.00%,30.00%,0.00%,100.00%,21.00%,True
2023-11-30,21.00%,35.00%,14.00%,30.00%,0.00%,100.00%,21.00%,True
2023-12-28,21.00%,35.00%,14.00%,30.00%,0.00%,100.00%,21.00%,True
2024-01-31,21.00%,35.00%,14.00%,30.00%,0.00%,100.00%,21.00%,True
